Protocol,Algorithm,Length,Comparisons,Time_ns
Random,StringQuickSort,1000,10118,860800
Random,StringQuickSort,1100,10550,894600
Random,StringQuickSort,1200,11400,1031200
Random,StringQuickSort,1300,12307,1070800
Random,StringQuickSort,1400,15240,1343700
Random,StringQuickSort,1500,14539,1300700
Random,StringQuickSort,1600,16303,1395800
Random,StringQuickSort,1700,17095,1436600
Random,StringQuickSort,1800,19177,1601400
Random,StringQuickSort,1900,20510,1713600
Random,StringQuickSort,2000,22769,1977700
Random,StringQuickSort,2100,22181,1899500
Random,StringQuickSort,2200,23153,1964700
Random,StringQuickSort,2300,24895,2081800
Random,StringQuickSort,2400,25473,2135800
Random,StringQuickSort,2500,26165,2215700
Random,StringQuickSort,2600,29152,5722200
Random,StringQuickSort,2700,31974,2650500
Random,StringQuickSort,2800,32585,2637100
Random,StringQuickSort,2900,30480,2613200
Random,StringQuickSort,3000,32796,2822100
Random,StringQuickSort,100,533,64800
Random,StringQuickSort,200,1440,145200
Random,StringQuickSort,300,2239,219700
Random,StringQuickSort,400,3175,283900
Random,StringQuickSort,500,4333,379500
Random,StringQuickSort,600,5059,444800
Random,StringQuickSort,700,5895,582200
Random,StringQuickSort,800,7558,651800
Random,StringQuickSort,900,8177,743100
Random,StringQuickSort,1000,9634,838700
Random,StringQuickSort,1100,10279,949200
Random,StringQuickSort,1200,11737,1005000
Random,StringQuickSort,1300,12818,1106500
Random,StringQuickSort,1400,14784,2091300
Random,StringQuickSort,1500,15320,1303700
Random,StringQuickSort,1600,15975,1401800
Random,StringQuickSort,1700,19633,1546200
Random,StringQuickSort,1800,19210,1575100
Random,StringQuickSort,1900,19868,1880500
Random,StringQuickSort,2000,21140,2324500
Random,StringQuickSort,2100,22450,1849800
Random,StringQuickSort,2200,23809,1961900
Random,StringQuickSort,2300,27191,2160400
Random,StringQuickSort,2400,29390,2270300
Random,StringQuickSort,2500,26045,2257200
Random,StringQuickSort,2600,27053,2354900
Random,StringQuickSort,2700,29094,2484400
Random,StringQuickSort,2800,30754,2596900
Random,StringQuickSort,2900,35045,2919400
Random,StringQuickSort,3000,34815,2817700
Random,StringQuickSort,100,545,64400
Random,StringQuickSort,200,1442,143900
Random,StringQuickSort,300,2262,236400
Random,StringQuickSort,400,3277,300700
Random,StringQuickSort,500,4994,419700
Random,StringQuickSort,600,4846,487500
Random,StringQuickSort,700,6627,569400
Random,StringQuickSort,800,8584,729600
Random,StringQuickSort,900,8350,756000
Random,StringQuickSort,1000,9428,844500
Random,StringQuickSort,1100,10349,943900
Random,StringQuickSort,1200,12526,1048900
Random,StringQuickSort,1300,12018,1092700
Random,StringQuickSort,1400,14858,1247200
Random,StringQuickSort,1500,15146,1281900
Random,StringQuickSort,1600,16952,1384600
Random,StringQuickSort,1700,18213,1523500
Random,StringQuickSort,1800,18065,1572000
Random,StringQuickSort,1900,20931,4919500
Random,StringQuickSort,2000,20773,1816800
Random,StringQuickSort,2100,23606,1962500
Random,StringQuickSort,2200,23235,2501000
Random,StringQuickSort,2300,25190,2087500
Random,StringQuickSort,2400,27016,2271300
Random,StringQuickSort,2500,28209,2400600
Random,StringQuickSort,2600,32648,2681500
Random,StringQuickSort,2700,29110,2566400
Random,StringQuickSort,2800,31407,3137900
Random,StringQuickSort,2900,32705,2685000
Random,StringQuickSort,3000,36645,3071900
Random,StringQuickSort,100,542,72700
Random,StringQuickSort,200,1420,137800
Random,StringQuickSort,300,2210,267500
Random,StringQuickSort,400,3377,295600
Random,StringQuickSort,500,4276,393800
Random,StringQuickSort,600,5504,500600
Random,StringQuickSort,700,5927,557400
Random,StringQuickSort,800,6793,653500
Random,StringQuickSort,900,8530,758100
Random,StringQuickSort,1000,9353,869100
Random,StringQuickSort,1100,10249,897000
Random,StringQuickSort,1200,12527,1034100
Random,StringQuickSort,1300,12688,1171100
Random,StringQuickSort,1400,14390,1232300
Random,StringQuickSort,1500,15882,1306500
Random,StringQuickSort,1600,16537,1399500
Random,StringQuickSort,1700,16586,1432600
Random,StringQuickSort,1800,18319,1502900
Random,StringQuickSort,1900,23629,1745400
Random,StringQuickSort,2000,23330,1847200
Random,StringQuickSort,2100,22420,1869800
Random,StringQuickSort,2200,23615,1999100
Random,StringQuickSort,2300,23541,2029900
Random,StringQuickSort,2400,24992,2074400
Random,StringQuickSort,2500,28466,2276200
Random,StringQuickSort,2600,30290,2543900
Random,StringQuickSort,2700,30439,2528500
Random,StringQuickSort,2800,30242,2495700
Random,StringQuickSort,2900,33861,2797000
Random,StringQuickSort,3000,37111,3051100
Random,MSBRadixQuickSort,100,67,412900
Random,MSBRadixQuickSort,200,202,634500
Random,MSBRadixQuickSort,300,440,927100
Random,MSBRadixQuickSort,400,658,1054600
Random,MSBRadixQuickSort,500,1012,1274300
Random,MSBRadixQuickSort,600,1380,1455400
Random,MSBRadixQuickSort,700,1716,1590700
Random,MSBRadixQuickSort,800,2091,1815800
Random,MSBRadixQuickSort,900,2574,1991600
Random,MSBRadixQuickSort,1000,2992,2240200
Random,MSBRadixQuickSort,1100,3455,2541500
Random,MSBRadixQuickSort,1200,3973,2668300
Random,MSBRadixQuickSort,1300,4400,3123400
Random,MSBRadixQuickSort,1400,5155,3319300
Random,MSBRadixQuickSort,1500,5542,3779300
Random,MSBRadixQuickSort,1600,6138,3999300
Random,MSBRadixQuickSort,1700,6481,4145000
Random,MSBRadixQuickSort,1800,7362,4519400
Random,MSBRadixQuickSort,1900,7772,4843900
Random,MSBRadixQuickSort,2000,8278,7410600
Random,MSBRadixQuickSort,2100,9151,8680500
Random,MSBRadixQuickSort,2200,9487,5540900
Random,MSBRadixQuickSort,2300,10346,6340100
Random,MSBRadixQuickSort,2400,11051,11068400
Random,MSBRadixQuickSort,2500,11314,6995900
Random,MSBRadixQuickSort,2600,12163,7481800
Random,MSBRadixQuickSort,2700,13001,7628900
Random,MSBRadixQuickSort,2800,13229,11685800
Random,MSBRadixQuickSort,2900,14127,8269600
Random,MSBRadixQuickSort,3000,14726,16156800
Random,MSBRadixQuickSort,100,74,417600
Random,MSBRadixQuickSort,200,189,610700
Random,MSBRadixQuickSort,300,461,817600
Random,MSBRadixQuickSort,400,722,1038400
Random,MSBRadixQuickSort,500,995,1233200
Random,MSBRadixQuickSort,600,1372,1298000
Random,MSBRadixQuickSort,700,1732,1466600
Random,MSBRadixQuickSort,800,2155,2290100
Random,MSBRadixQuickSort,900,2667,2138800
Random,MSBRadixQuickSort,1000,3077,2140100
Random,MSBRadixQuickSort,1100,3440,2428200
Random,MSBRadixQuickSort,1200,4060,2576900
Random,MSBRadixQuickSort,1300,4614,2938700
Random,MSBRadixQuickSort,1400,4992,3317500
Random,MSBRadixQuickSort,1500,5609,3546800
Random,MSBRadixQuickSort,1600,5981,3995000
Random,MSBRadixQuickSort,1700,6737,5778100
Random,MSBRadixQuickSort,1800,7253,4432400
Random,MSBRadixQuickSort,1900,7847,5063400
Random,MSBRadixQuickSort,2000,8470,4949700
Random,MSBRadixQuickSort,2100,9032,5668700
Random,MSBRadixQuickSort,2200,9630,5849500
Random,MSBRadixQuickSort,2300,10074,5920400
Random,MSBRadixQuickSort,2400,11042,6695900
Random,MSBRadixQuickSort,2500,11416,6891000
Random,MSBRadixQuickSort,2600,11804,7283900
Random,MSBRadixQuickSort,2700,12973,7888500
Random,MSBRadixQuickSort,2800,13476,7643800
Random,MSBRadixQuickSort,2900,14222,8791600
Random,MSBRadixQuickSort,3000,14796,9534100
Random,MSBRadixQuickSort,100,69,343000
Random,MSBRadixQuickSort,200,195,637400
Random,MSBRadixQuickSort,300,457,838600
Random,MSBRadixQuickSort,400,725,962000
Random,MSBRadixQuickSort,500,1009,1162900
